Date,Hour_of_Day,Airport_Code,Airport_Name,City,State,Checkpoint,Total_Pax_KCM_PAX
6/22/2025,00:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,South Checkpoint,117
6/22/2025,00:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,F Arrival Checkpoint,5
6/22/2025,00:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,Main Checkpoint,193
6/22/2025,00:00,BQN,Rafael Hernandez,Aguadilla,PR,Rafael Hernandez Air,70
6/22/2025,00:00,BTV,Burlington International,South Burlington,VT,Main Checkpoint,0
6/22/2025,00:00,BTV,Burlington International,South Burlington,VT,B Checkpoint,5
6/22/2025,00:00,BTV,Burlington International,South Burlington,VT,D/E Checkpoint,8
6/22/2025,00:00,CMI,University Of Illinois/Willard,Savoy,IL,Checkpoint A,25
6/22/2025,00:00,CVG,Cincinnati/Northern Kentucky International,Hebron,KY,T3-MCP,16
6/22/2025,00:00,CVG,Cincinnati/Northern Kentucky International,Hebron,KY,South,0
6/22/2025,00:00,CVG,Cincinnati/Northern Kentucky International,Hebron,KY,West,39
6/22/2025,00:00,CVG,Cincinnati/Northern Kentucky International,Hebron,KY,Blue-1,26
6/22/2025,00:00,CVG,Cincinnati/Northern Kentucky International,Hebron,KY,Red 3,15
6/22/2025,00:00,ELP,El Paso International,El Paso,TX,Consolidated Checkpoint,0
6/22/2025,00:00,ELP,El Paso International,El Paso,TX,CKPT-A1,9
6/22/2025,00:00,EWR,Newark Liberty International,Newark,NJ,CKPT-B3,159
6/22/2025,00:00,EWR,Newark Liberty International,Newark,NJ,CKPT-C1,28
6/22/2025,00:00,FAI,Fairbanks International,Fairbanks,AK,ASAA-FAI,142
6/22/2025,00:00,FAT,Fresno Yosemite International,Fresno,CA,FAT 01,126
6/22/2025,00:00,FSD,Joe Foss Field,Sioux Falls,SD,Checkpoint,6
6/22/2025,00:00,GUM,Guam International,Tamuning,GU,GUM01,226
6/22/2025,00:00,HNL,Daniel K Inouye International,Honolulu,HI,Makai,76
6/22/2025,00:00,IAD,Washington Dulles International,Dulles,VA,East Mezzanine,421
6/22/2025,00:00,IND,Indianapolis International,Indianapolis,IN,Checkpoint A,8
6/22/2025,00:00,JAX,Jacksonville International,Jacksonville,FL,Main Checkpoint,0
6/22/2025,00:00,JAX,Jacksonville International,Jacksonville,FL,Terminal 1,603
6/22/2025,00:00,JAX,Jacksonville International,Jacksonville,FL,Terminal 4 Main,510
6/22/2025,00:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 5,51
6/22/2025,00:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 7,99
6/22/2025,00:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 8,98
6/22/2025,00:00,JNU,Juneau International,Juneau,AK,JNU-01,40
6/22/2025,00:00,JNU,Juneau International,Juneau,AK,Term 1 - AB,20
6/22/2025,00:00,LAS,Harry Reid International,Las Vegas,NV,Term 1 - D,44
6/22/2025,00:00,LAS,Harry Reid International,Las Vegas,NV,Terminal 3 - E Upper,225
