Date,Hour_of_Day,Airport_Code,Airport_Name,City,State,Checkpoint,Total_Pax_KCM_PAX
11/23/2025,00:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,South Checkpoint,208
11/23/2025,00:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,F Arrival Checkpoint,21
11/23/2025,00:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,Main Checkpoint,46
11/23/2025,00:00,BQN,Rafael Hernandez,Aguadilla,PR,Rafael Hernandez Air,176
11/23/2025,00:00,BTV,Burlington International,South Burlington,VT,Main Checkpoint,0
11/23/2025,00:00,BTV,Burlington International,South Burlington,VT,B Checkpoint,3
11/23/2025,00:00,BTV,Burlington International,South Burlington,VT,D/E Checkpoint,4
11/23/2025,00:00,CVG,Cincinnati/Northern Kentucky International,Hebron,KY,T3-MCP,16
11/23/2025,00:00,CVG,Cincinnati/Northern Kentucky International,Hebron,KY,East,14
11/23/2025,00:00,CVG,Cincinnati/Northern Kentucky International,Hebron,KY,West,20
11/23/2025,00:00,CVG,Cincinnati/Northern Kentucky International,Hebron,KY,Blue-1,12
11/23/2025,00:00,CVG,Cincinnati/Northern Kentucky International,Hebron,KY,Red 3,14
11/23/2025,00:00,ELP,El Paso International,El Paso,TX,Consolidated Checkpoint,0
11/23/2025,00:00,ELP,El Paso International,El Paso,TX,CKPT-A1,16
11/23/2025,00:00,EWR,Newark Liberty International,Newark,NJ,CKPT-B3,15
11/23/2025,00:00,EWR,Newark Liberty International,Newark,NJ,CKPT-C1,10
11/23/2025,00:00,FAI,Fairbanks International,Fairbanks,AK,ASAA-FAI,184
11/23/2025,00:00,FAT,Fresno Yosemite International,Fresno,CA,FAT 01,174
11/23/2025,00:00,GUM,Guam International,Tamuning,GU,GUM01,390
11/23/2025,00:00,IAD,Washington Dulles International,Dulles,VA,East Mezzanine,318
11/23/2025,00:00,IND,Indianapolis International,Indianapolis,IN,Checkpoint A,2
11/23/2025,00:00,JAX,Jacksonville International,Jacksonville,FL,Main Checkpoint,0
11/23/2025,00:00,JAX,Jacksonville International,Jacksonville,FL,Terminal 1,42
11/23/2025,00:00,JAX,Jacksonville International,Jacksonville,FL,Terminal 4 Main,493
11/23/2025,00:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 5,0
11/23/2025,00:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 7,20
11/23/2025,00:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 8,77
11/23/2025,00:00,JFK,John F Kennedy International,Jamaica,NY,Term 1 - AB,7
11/23/2025,00:00,LAS,Harry Reid International,Las Vegas,NV,Term 1 - D,41
11/23/2025,00:00,LAS,Harry Reid International,Las Vegas,NV,Terminal 3 - E Upper,178
11/23/2025,00:00,LAS,Harry Reid International,Las Vegas,NV,TBIT Main Checkpoint,14
11/23/2025,00:00,LAS,Harry Reid International,Las Vegas,NV,Terminal 1.5 – Passenger,8
11/23/2025,00:00,LAS,Harry Reid International,Las Vegas,NV,Terminal 4 - Passenger,39
11/23/2025,00:00,LAS,Harry Reid International,Las Vegas,NV,Terminal 7 - Passenger,13
